name,title,rating,date,text,helpful_vote
Piyush Kumar Singh,Highly not recommended,1,29-Dec-21,"After using 20 days came to know that this worst protein powder in the market.  इसमे कुछ नही है भगवान जाने क्या बनाया है सस्ते के नाम पर पूरा लूट रहे है, कुछ यूटूबर्स को देख कर खरीदा था ये बस पेड स्पांसरशिप के भरोसे बिक रहा है।",
hemant chauhan,Amazing product thanks.,5,1-Nov-21,This is a amazing product I have already used before this. Again I have purchased from Amazon I have  4th time buying of this brand products. Its recover your Body in short time. Very happy to purchase this item. BELGIUM CHOCOLATE FLAVOR IS VERY GOOD & VANILLA ALSO I HAVE USED BOTH PRODUCTS. Thanks to BIG MUSCLES NUTRITION. 🙂🙂😍😍😍,
Jatin,Improved version,5,13-Oct-21,I am consuming this for past 6 months. And recently they have made improvements in the flavour. Belgium chocolate is better now and there used to be foam creation earlier which is now fixed and no foams are formed during shake. Go for it. Good budget protien. My whole family consums this.,
Devender c.,"Very Good Taste, With Excellent Results",5,7-Mar-21,"In the category of Whey Protein, Big Muscles Nutrition Premium Gold Whey is the best Whey Protein. It's also good for athlete's, Muscle Gain. Most important it doesn't contain any sugar element. Sugar Free. I really like this product Belgain Chocolate. The product is having a genuine seal & you can even verify it on the website by scratching the label.",
Anindya Naha,"Definitely buy, If you prefer milk powder at the price of whey protein.",1,27-Oct-21,"I've used Whey protein of different reputed leading brands since last 10 years and more or less satisfied with their quality except this one. This one is pure milk powder with some flavour added in it.If don't believe, just try it yourself.😀This is a joke in the name of whey protein.",
Owais Matin Shaikh,Worst Protein Ever!,1,21-Feb-22,"Don't Trust On Paid Youtubers Reviews, Product Quality Is Decent, Taste Is Very Bad And It's Have 35GM Of Scoops That Only Served U 28 Serving.As Well I Suffered From Digestion Issues Caused Gastric And Intestine Infection. So Conclusion Is Don't Go For Bigmuscle And Any Other Cheap BrandsThank u",
Ayush Thakur,Pocket friendly whey protein,5,18-Feb-21,I tried this whey protein today after my workout. Flavor(belgian chocolate)  is quite good. 25 gm protein in one scoop. I am a student so I can't afford expensive whey proteins. But this pack of 2 kg is pocket friendly. 60 servings in just 2250 rs and I also got a t-shirt free with this pack.,
Gaurav,Great product in best price.,5,23-Oct-20,"I have been using this product from 4-5 months, it's showing great results. the serving is perfect as mentioned and all the ingredients are perfect and well distributed. It is good for both beginners as well as intermediate and advanced level body builder.Thank you for such an amazing product in this range which is very difficult to find.",
Savio Albuquerque,Tastes like Medicine. . . Stick to MuscleBlaze,2,10-Nov-21,"The Belgium chocolate flavour is awful, tastes like medicine, I had to add Hershey's syrup to help with the taste.. Other than that it gives good energy before workout.",
Vivek Patel,"Poor quality, bad taste and mixability. Just dont buy because of low price.",1,6-Aug-21,"Check ingredients no pure whey, they used milk.Dont look at prices, cheap but quality is very poor.I got product which has no taste and having bad mixability issue.Thanks amazon got refund.There are many brands which has good quality products under rs 1500.",
Diksha,Ek no. Chiz h results milta h pase km h to ye le kr jarur dekhe,5,3-Dec-21,"The media could not be loaded.
                
 Ek no. Chiz h bhaiyo agar starting kri h to mane use kr k dekha h result bhut ache h iske agar pase km h or result chahiye to ye le kr jarur dekho sth m bhai gaining bhy bhut achy hui meri calcium bhy isme hi mil jata h sabhy amino acid h isme jarur ek br try kre",
Rahul Giri,The bestest protein available in market at this price segment,5,14-Dec-21,Firstly I love this brand bigmusle since when I joined gym I only use bigmusleAnd this is the only brand that provide always a great deal on their productsCheapest protein and their great pricing.This a absolute a mind-blowing protein for beginnersMixibility and absorption is so goodAnd test is very fine...,
shubham pal,Waste of money. Worst taste,1,7-Aug-21,very bad product.. i have stomach pain after taking just one scoop. Belgian Chocolate flavour is worst. Do not buy. i want to replacement with another flavour but not amazon nor Big Muscle customer supports showing any interest. Waste of money.,
Arpit,"Poor packaging, badly mixed. Hard pass",2,27-Feb-21,"The product looks nothing like the photo. In reality the packaging and the drum is cheap looking. The powder was not properly mixed as well,andjudging by 1 month of use, I don't trust they are using isolate or whey. Do not recommend. I have used other brands over this and highly recommend themWill be buying muscleblaze over this 100%",
sunny,RESULT GIVING PROTEIN WITH GREAT TASTE OF BANANA,5,13-Jul-21,"It's a nice product, and it taste so well and I am going to order it of 2kg pack now, and certainly it has shown me results too by its 25g protein in 1 scoop. While previously I was using ASITIS ISOLATE and I have ordered both ASITIS and BIGMUSCLES protein.",
Vik,what a product awesome,5,19-May-22,"i had many whey protein but in this price range i think there is no comparison. Such a great product within the price range. mixibility is perfect, taste is awesome, available in many flavoures, for jenuine varification they have scratch code which ensure tge product is jenuine.",
Rahul,pure proteins powder,5,8-Mar-21,"i love the taste, have been using different supplements from this brand and the quality is very good as always. i take one scoop after my workout and it makes wonder.",
Sandeep singh,Good for bigginers... not for intermediate,4,20-Jul-21,This is 71% contained protine...only for bigginers..if you want real protine buy above 75% protien contained suppliment....otherwise buy this for flavour and your low budget,
rishu vaish,Wort protein till now,1,12-Nov-21,I am using this protein for first time this doesn't look authentic as it doesn't mix well in water I am using protein powders from other brands from several years I also contracted amazon customer care but he doesn't provide me reasonable solution for that and talked to me in very monotonous way,
AJ,Not recommonded,2,14-Jul-21,Dont buy. Nowhere near OptimumNutrition taste and solubility. Does not get mixed manually (with spoon) whatever you do. taste also is artificial.,
Srinjoy Bhattacharjee,Not a Good Supplement,2,8-May-21,"Its flavour is not so good by its name thats belgian chocolate, but it has the  worst side effects a whey protein supplement can have. It gave me pimples and acne on my face and it feels so disgusting after drinking as it gives a bloat in my stomach whenever i drink it as a post workout shake.Improve its taste as it does not taste like Belgian. Improve the side effects by drinking this",
harsh,Very High GLycemic Index of the sweetener,1,9-Aug-21,"This Product has no Sugar, but the Artificial Sweetener is so terrible, it has very high glycemic index.If you take this product and measure your blood sugar after 2 hours, your blood sugar levels will be terribly high.Its a dangerours product and everyone should stay away from it.",
Aditya Yadav,Better option for students and budget oriented people,4,7-Nov-21,Flavour is decent with only water but if you add some(20-30%) milk than it taste really good Doesn't make me bloat and mix ability is also good and I'm using this product for last one year overall this is good and economical option for students and budget oriented people.,
Aman sharma,Rate is high not a good choice,5,24-Dec-21,"As soon as it was opened, there was a hole on the side white wrapper, then it was thrown away after doing it for 7 days.you go for scitron advance whey or Gnc for good results flavor was not good",
Sudhanshu chauhan,Must  buy for effectiveness,5,11-Aug-21,I am buying this product for second time . When i bought it in july  2021 i thought  this will not work cuz ofcourse this is cheaper . But man the effectiveness  of the protein is amazing in this range. Must buy from my side.,
irfan mohammad,Great for beginners,4,18-Jul-22,This is one of the best products of whey in the Indian market. The flavour and the absorbing capacity is on par with the best WHEY in the buisness.,
Surbhi madan,Chocolate flavor,5,25-Aug-21,"Supreme chocolaty taste, I even used this in making icecream, worth every penny.I woukd love to go for bigger packaging next time",
Pritish thakur,Best for PG and Hostelers,5,2-Dec-21,"The flavour is good ,I had the rocky road and it's a good flavour . The fragrance is like a freshly made brownie and I quite liked it. The mixability is amazing and forms a good shake. It's good for nearly  2 months and as a student it's affordable .",
Rajapandian Murugan,Banana flavour is just yuck 🤢,3,1-Aug-21,"Banana flavour is just yuck 🤢 don't go for this flavour especially when you open a new pocket you can smell the boomer smell never expected this. I usually buy crude caffe latte flavour and that one always fantastic in taste and flavour wise, Also mixability is not as expected",
Pratiksha G.,Not buying it again,3,30-Jun-22,I’ve been buying this product since 6 months. Lately I find the package has been opened and the tag where you can scan for authenticity of the product is been torn off. Leads me to believe I have been duped. This was the last time I bought this. Will not be buying it again.,
Dinesh,Everything Good,5,6 April 2021,This whey is very good rich flavour good digestion and solubilityFirst i thougjt price is highBt according to taste and effectAm gonna say its justify the price and value botu,
Aradhana Singh,The packet inside was already open,1,21-Oct-21,The packet inside was already open. 25% of the contents fell on the floor when I was transferring to a jar because of other slits in the packet already. Maybe it was a returned product or wasn't exactly 500gms. Left me with a bad experience. Couldn't take a photo/ video due to the total mess my hands were in.,
Ashish Dhruw,Distinctive product,5,9-Feb-22,"It's texture is dry as compared to other products. Flavour and taste is good, could not bought the 2nd time as the price is increasing rapidly for all whey products. So can not say much about the result.",
Rohan,Fake product sold,1,22-Mar-22,"I have verified, the product sold is fake. The protein is sticky and the box misses the seal of authenticity. Kindly, refrain from purchasing the product.",
Neeraj,Fake,1,20-Aug-21,"It doesn't even taste like chocolate. When i bought for the first time it was tasty and you could taste whey. But on the second buy, i think they have sent me fake product. It is smelly. It doesn't tastes like the flavour. Very bad aftertaste. Really bad product. Did not expect this from Big Muscle.NOT RECOMMENDED.",
Dwarkeshh,"Worth the price, great for beginners",3,15-Jul-21,Pretty decent product for the price. I generally consume it post football games. It does the job well. No body or muscle pain of any kind. Means it's working well. Cafe late flavour is quite good. iBall aspects it's nit bad at all. Especially beginners must try. Good protein for price.,
VIvek Gautam,Too much sweet,1,24-Jul-22,"I used this protein first time, it is too much sweet like milk power with sugar powder. I didnt like the taste bcoz of sweetness.",
MOHAMMAD SABIR,Rait nikla hai ander se,1,26-Nov-21,"The media could not be loaded.
                
 Rait nikla hai bhai",
vykundanathkp,Budget friendly,2,11-May-22,"For me it isn't good enough to consume.Because of lactose intolerance i faced some bowel problems. It's a pocket friendly protein that everyone can buy. But if you are sensitive or intolerant to lactose you may face some problems like bloating,gas,or loose motion",
akshay singh,At this price..it is one of the best product,5,7-May-22,Initially my weight was around 64 started using it now i am 70 kgs with good cut and fitness.Helped me alot with my workout..take it as during workout or post workout.At this price getting this flavour is good.hoping to gain a good physique after constant use,
Gurpreet Singh,Only flavour review,1,4-Jan-22,"The taste of this protein is very cheap. I m using all indian protein like fuel one, nakpro, power us, asitas. My Fit fuel.. nutraway.. i than fuel one is best in all brand... according to price nakpro...and quality review post later.. after using one month ..",
Vishvjeet Singh,Best Budget Protein,5,5-Feb-21,Been using from almost two years. Best protein for this budget.,
Darshan Parmar,Great product,5,30-Nov-21,"I'm happy with the product. I wanted a good nutrition that did the basics, and the site recommended one that ticked all the boxes. Speaking with the service team helped me get exactly what I was looking for.So I am satisfied with this product, That's why I'm giving 5 Star rating on this product.",
Praveen kumar,Realy good protine powder,5,22-Jun-21,This protine powder is really good for muscels recovery..iam feeling the effects..taste also realy good I love it..there is no problem to absorb this protine..,
Ajay Rabari,Best for muscle building,4,27-Jul-22,I started working on my muscles and this protein help me so much 💪💪,
Amber Gulati,Do not buy,1,9-Mar-22,"Better buy a talcum powder and drink that along with bornvita. Zero quality, zero mixability, zero taste and zero protein. Do not go on ratings. They must be old and for different product. This is a cheap copy.",
Nishkarsh,"Awesome taste, does the job of protien requirement fulfilment",5,28-May-22,"Does the job of protien requirement fulfilment , unmatched at this price point.Strawberry is personal favourite variant.",
Abinash Puhan,Its very much effective for building mass seriously.,5,14-Oct-21,"I would like this product because its very much effective for building serious mass and very good for beginners. I would really got results in very few days, its protein level is too much awesome and much impressive for delicious flavor with no added fat and sugar. Thank you BIG MUSCLE...",
BEN,Absolutely good product !!! Highly recommend it!! Good taste!,5,10-Dec-21,I ordered the Belgian chocolate flavour. It’s taste amazing. Have been using this for quite a long time now. Big muscles have never disappointed me. It’s tastes amazing and the results are good too. I would highly recommend this product.Buy this with no second thought !!,
Mahesh,Don't buy this protein only waste of money,1,13-Nov-21,I use this since last 1 month. I buy this blend protein due to low cost. It will not give u better results. It will decrease ur strength and reduce your body muscle size.Do not buy this only waste of money.Otherwise go for Gayor essential. It will give u better results.,
kavita,Good protein in budget,3,24-Nov-21,"First of all of you want this product for flavour , I would recommend it. Because you won't like it's flavour . Other than that its good . Take it for budget protien suppliment and not for taste.Mixibility is good like many protein.Good protein for college or school students.",
Sanjit behera,Yes u can buy it,3,27-Oct-21,Good to start with.it has a higher carb i.e 6.5.usually one should choose whey shake of carb below 3 per serving.after mixing it in shaker wait for 3 to 4 minutes until the froth settles down.taste is good.dont gulp.,
Chirag,Wonderful taste,4,22 April 2021,Very useful for reducing cramps after exercises. Very genuine. It doesn't cause any side effects like bloating etc because it doesn't have any additives of any kind Those sensitive to tasteless food might add sweetener. Absolutely satisfactory great product!,
Karthikeyan Kamaraj,Results can be visualised,5,22-Mar-21,Not much impressed with the flavour... However able to see results... Able to see others noticing and asking me "are you going to gym regularly?",
VAIBhaV WAGHUlE,POOR PACKIGING,5,25-Jun-21,"VERY POOR PACKAGING THAT THE WHOLE BOX WAS LIKE FELL IN MUD I HAVE TO WASH IT VERY DISAPPOINTED WITH THE PACKAGING,BUT OVERALL PACKAGE PRODUCT IS VERY EXCELLENT",
Gaurav Duseja,Product looks not genuine,1,2-Mar-22,"This product not look genuine, it is much different from the product which i purchased previouslyIt has different taste, not mixing properly as shake, not forming foam",
Amazon Customer,Available at best rate and Superb Flavours,1,30-Oct-21,I am using the Bigmuscles product from last 5 years since Sahil khan was the brand Ambassador. The taste and flavour used to be always amazing. But this time the mixability was the issue.  Lot of foam was forming while mixing and taste was somewhat different as compared to previous years,
Ajay choudhary,So much foam production,1,12-Feb-22,I am using this protein third time now. This time the quality of protein is not good. It is producing so much foam while shaking. Favour is ok but quality of product and overall affects on body are not impressive.,
Sumit Poddar,Really happy with the Product. Chocolate Flavor.,5,30-Nov-21,"First of all if you are planning to consume a whey protein then close your eyes and go for this. The flavour a really good with no sugar added and talking about the result, the result is really good and effective. One should definitely go for this product with awesome taste and a great result.",
anoop yadav,i think amazon selling fake product,3,10-Jun-22,whenever i take this protien i feel headacheormere box k cap per BM ka logo bhi nahi haiagr kisi or k box k cap pr bhi logo ni h to btaiye mjkoprotien is not good i m using from 2 months,
Himesh,Have a greate test and thikness,5,24-Dec-21,"I have taken this gold whey protein in strawberry flavor and it has amazing taste and thickness, it's also mixed well, I will definitely try other flavors too.Love this product.",
PravinP,Something looking wrong,1,13-Jan-22,"The media could not be loaded.
                
 It's not fine n free flowing. Just sticky.Doubt about originality.Flavor is also not so good.",
Tanmay Mohapatra,Value for money,4,17-Jun-20,Would give 4.5 stars out of 5 for this product.Best when consumed with water.,
Amazon Customer,Tastes better then any other product.,4,5-Dec-21,"Tastes better then any other brand, for beginners I'll suggest go for strawberry flavor Tastes awesome and for results expections high from a brand like bigmuscles nutrition.",
Devashish Kumar,Best And Effective Whey Protein For Everyone.,5,9-Nov-21,Since being a beginner I really had a great experience with this whey protein. Have experienced really great results in terms of muscle recovery. it's taste is also good with nice absorbency. And it come up with so reasonable price. There's nothing you can dislike about it...,
Harsh Bari,good for startup,5,9-Jun-21,Tasty could have more better. Good benefits . Perfect for beginners. Packing was proper. It's original when I scan . Best range price . Value for money .,
Mahipal singh sisodia,Awesome flavour,5,25-Nov-21,This protien I bought in strawberry flavour. It tastes awesome and box build is of good quality. Genuine protien with no additional ingredients or stolen list.I would recommend all to for this.,
piyush garg,"Smell hai open krte he ,.",3,18-Dec-21,Wese thik hai bs open krte he smell si aati hai cafe latte me shyd coffee ki smell ho ....baki acha hai 2box use kr rha hu phle cookie n crem mgvaya tha,
JaiPrakash Tiwari,Bad product don't by this nakli h pet khrab hoga aur pimples had se juada honge,1,4-Oct-21,Bad product don't by this nakli h pet khrab hoga aur pimples had se jyada honge. really Bad,
Shabaz alam,Budget friendly whey protein,5,16-Jun-21,I love this protein tastiest really amazing. Very good Mixability in water or milk .best for post workout . Nutrition value is truly amazing and value of money,
Tarish,Loved this product!,5,28-Dec-21,I have been using Big Muscles whey protein for a while now and highly recommend it. It helps in quick recovery after an intense workout session. The flavour is great too. Total value for money.,
Rohan,Not worth,1,8-Dec-21,This is the worst product I have seen. I am even doubtful whether the protein is available in it or not. No taste at all and no lather formation as expected. Completely tasteless. I won't suggest this product at all. I am going to return it back. Not worth.,
Sid S,Must for people who want to gain muscle,5,18-Aug-21,I have had big muscle before just a change of flavour for taste!! It real gave me results and must try for beginners!,
RiTiK SiNgH,Be-aware this product was tested and claimed only 39% protein in 30 gram scoop,1,18 April 2022,Recent lab tests results shows that 30 grams of scoop not providing 24 gram of protein and is only providing 39% of protein can say only 10 gram.All the popularity is fake and is bought by money.,
Manan,Good product for beginners,5,20-Sep-21,Big Muscles Protein is very tasty and good to try with good results. The mixibility of the product is just too good. Cookie and Cream flavor Protein makes the taste more amazing. It is totally worth the money.,
droidReview,Mixability a issue !,4,19-Jun-20,Everything is ok except mixability.  Small lumps are there even after shaking rigourosly. Muscleblaze whey gold has much better mixability when compared to this .,
Manit,pure sugar syrup,1,14 April 2021,don't buy unless you want to  increase your body fat.Too much sugar is added in it . Its a fake product.i asked for return then amazon told me to return it from company. amazon don not return this product.,
Saurabh Sharma,Hot chocolate,4,25-Feb-22,Fulfill your protein requirement with awesome Belgium chocolate 🍫 taste,
Amazon Customer,Works,5,25-Jan-22,I like it. It works if you are lifting and wanna get bulk but it's a bit too sweet that's the only problem rest everything is ok.,
Kamal,Be aware!!!Dont get cheated!!,5,9-Aug-22,You can go for any other authentic brand as company is making fool of customers.. it has only 13gram protein per scoop as per lab reports .....wheras company lie to their customers...,
Rakesh,Taste and flavor,5,7-Jun-21,I have tried many company whey protienAnd one thing i gonna sayIts too choclaty and rich in flavorIf u have sweet tooth go for itMixiblity is also superLike this too much,
Mahendra Yadav,Genuine Product,5,28-Aug-21,Product is original (as I believe this is the concerned of most of us). And I believe this will be effective as well. Hoping for the best results.,
Pintu K Singh,Biginners value for money,3,10-Aug-21,"Chocolate Taste is not upto the mark.Not disolving properly in water or milk, you need to use mixer.",
Vikas Arora,Nowhere near to ON,1,8-Jan-22,It was a total waste of money. Tatse is horrible. Protein quality is way too inferior to ON.,
Danu Sharma,Best in this price range,4,7-Feb-22,"Consuming this product from last month and it tastes so good, not too sweet, got positive results, it's a good choice for beginners. Best in this price range. Only problem (for me) is that it's little heavy on stomach but that depends on person.",
DASARADHI,Donot buy ... only 8g protein per scoop,1,28-Sep-21,Protien content is very low...only 8g for 1 scoop.donot waste your money...if u want to buy whey protein go for better brands like optimum nutrition or muscle blaze...once again donot buy big muscles whey ...its fake,
ishan jha,The best protein shake in cheap price,5,29-Nov-21,This protein shake does not only have a great taste of chocolate but it absorbs much faster.Best for beginners as well as for intermediate and advanced!If you are a new one you should try this and seriously I have transformed myself with this protein shake.,
Amazon Customer,Good,4,13-Aug-22,Good,
Muralidhar Rao,Useful supplement,5,6-Sep-21,"It's really tasty first of all, comming to the performance, it's really great for beginners too, I had really good improvement in my muscles within 2 weeks even though I take only 1 scoop a day and if u take 2 scoops a day, then u might be satisfied with ur results",
sam,Good one,4,26-Feb-22,It's a good product. Flavour is good. Need to check the absorbency and efficiency after using it for a while.,
Mr. Khan,Great Mixability and Results,5,8-Dec-21,"I have tried 3 flavours of BigMuscles Gold whey.. Belgian chocolate, Cafe latte and Cookie and cream..I have tried other brands too..but this is the cheapest and Result giving protien..I would definitely recommend BigMuscles Products to everyone.",
vivek m.,Awful taste,2,11-Dec-21,"It doesn't taste good at all. And also, less dense as compared to other brands.",
Sadaat,Difference in product quality.,4,30-Sep-21,The flavour was not the same as the previous purchased jar. Also it doesn’t dissolve completely like earlier one used to. Leaves some residue behind. Please check the quality and authenticity of the product.,
Amazon Customer,Cheap quality,1,11-Aug-22,No results. Its total made in India brand. Sourced from USA claim is highly doubtful. Better drink protein x if you are on budget.,
Sayan S.,Outstanding flavour,5,16 April 2022,"After having Muscleblaze gold and this one, I can definitely confident to have this particular whey gold for rest of my life.",
Joseph Dhanraj,Qualty whey.,5,14-Nov-21,I am not a body-builder. I am 60 years old. I use whey protein for my recovery.,
Prasad P.,It's good for beginners only.,5,28-Feb-22,"Product is up to the mark, Digestive quality is good, Flavor was not blended properly. Taste of the cafe latte is Average. Overall good for beginners.",
Ankit Singh,"Easily digestible, good taste.",5,6-Jan-22,It is a very good whey in this price range. Very easily digestible even on rest days. Never makes you feel bloated. As it is a blend of isolate and concentrate it has good amount of protein content. Highly recommended.,
Nishchith,Superb taste,5,11-Sep-21,It is a awesome product with superb taste. The serving size is also accurate . The muscle soreness is also reduced after taking this whey protein. Overall a good product worth buying.,
Chandrupal Ngate,Bessssst,5,5-Jan-22,"Have been using from past 2 months ,I suggest everyone to try out the Bigmuscle Premium Gold Whey because the taste is so good ,not like the other whey powders ,digest quickly too.And the results are amazing too 🙌Go for it !!",
Az,Where is the FREE BCAA,3,19-Oct-20,I have received my Big muscles premium whey protein today and there is no free pouch of BCAA as mentioned. Where is it?,
vishnu.t,Classy one,5,5-Oct-20,"The best one yet, nice flavour and high quality item. God only if corona subsides. So eager to purchase again for regular workout.Trust me guys it works. 😍",
Khaja Sheraz,Average quality,4,13-Jul-21,"Average quality, with water its less tasty. Use milk for better taste. Mix ability is good.",
ND,Lower quantity than shown,2,3-Jul-22,Very big box that's half empty upon arrival. Even though it was sealed. Taste of product is good but low quantity.,
Prashant Singh Chauhan,Good quality product for beginners,4,4-Feb-22,"It's a good product and it shows results quickly. With the market full of various proteins at very high rates, bigmuscles protein is very cost effective and has very good results.",
Bhavin modi,Good quality but awful test,3,16-Oct-21,"Product is good, using Bigmuscle product since 2 years, but this Belgium chocolate taste is awful and yuck, go for chocolate flavour,",
Kanan,Delecious,5,13-Mar-21,this is a great product for those who wants to gain weight . its taste is so good and you will take with your regular diet. they also mentioned the ingredients on side of the box so you can check what is in it and be assure.,
meraj,Protein in 10-12gm pr surve,1,14-Mar-21,"This product is a scam,Muscle recovery is too late,or not done,Taste is not good,Protein in 1 survingIs not 25 gmReal protein in 10to12 gm per surving.So muscles recovery is too late.Bad product for bodybuilding.",
Siddharth M.,Best to avoid!,2,12-Sep-21,"The flavour is not at all rich, like other whey protein brands. But the worst part is the mixability....it does not completely dissolve in water, inspite of rigorous stirring....leaves lumps. Go for another, more reputed brand, unless you are really hard up on money.",
Imon Hussain,Maybe Fake product,2,10 April 2021,I used this product before but this time it tastes totally different and also looks different  (It tastes more like milk powder mixed with the original product) very disappointed,
Naman Sharma,You will see the results,5,18-Dec-21,"I am writing this review after using it for more than a month, and I must say you will see the results and flavour is quite nice. It dissolves in water normally without any extra effort.",
Munde prashant,Don't buy this product from this app,1,29-Jun-22,"Don't buy this product,  i took 2 kg but i didn't get the result , i think they mix something bcoz it's too sweet to taste",
aditya,Not something that I recommend,3,31-Aug-21,Not something that I would recommend to someone. It causes a lot of gastric problem. In my unit the scoop was missing. Does not mixes easily. Didn't feel any gain or improvement.  Didn't feel anything good to recommend the product,
Suraj,Appreciate the product.,5,31-Jan-21,"Good product on par with other brands, good mixibility uniform consistency.Keep it for 5-7 minutes shake becomes thick & smooth.",
Gulshan Yadav,Value for money,5,14-Jun-21,First time i bought Any whey protein . Taste wise good and perfect thickness when u drink it.And have good deal on this price range.,
..yoo,Excellent protein at reasonable price.,5,7-Sep-21,"Received this yesterday. Took it post workout, and I'm already impressed. The product is authentic big muscles product. Mixability is great. Mixes up pretty fast and doesn't form much foam. The aroma and taste is top notch. I just love the cookie and cream flavour.",
Ujwal Kalra,Fake product,1,10-Jun-21,"Fake product. Bought salted caramel which was completely white in colour. Had also verified the product through message, but just realised that’s also fake - the verification message has grave grammatical error and spelling mistake which an established company can’t do.",
Phani Raju,Not dissolvable,3,28-Mar-22,Mixture was not at all dissolved in liquid with normal shake we have to use mixer but if mixer device used product was totally formy bubbles doesn’t look like drinkable,
Amiya,It's good for the price,5,16-Nov-20,Good packaging and on verification show genuine bm product.And do get the creatine pack.,
Ashish,Waste of money,1,12-Jul-22,Waste of money . Lots of sugar in it no result .very bad experience I strongly recommend not to buy this productInstead of this ear chocolate and sugarIf serious for result buy raw of big muscle,
RAJARYAN NIRWAL,Fake product,1,13-May-22,"Don't purchase it please , it's a fake product . It got no branding of big muscle on the lid and on the bottom of the container",
Aryaman Mohanta,One of the best whey proteins for students.,4,21-Dec-21,The product is very good according to it's pricepoint. There are very few flavoured whey protein in this budget which provides such amount of protein in one scoop(25g) along with a great taste and mixability . Allover a good value for money👍,
Boobalan,taste mixing development all is ok..,5,4-Jun-21,its good.but package is not proper and bottle brand logo stickers..look created doubt on the product,
Naresh Kumar,Fake powder with sugar,1,22-Jan-21,"Do not buy, this is some fake powder with sugar added into it and amazon is not ready accept return request for quality issues. They ask you to contact manufacturer.",
Bhavishya chauhan,Better for beginners!!,3,5-Nov-21,"If u have started ur gym or you are an intermediate, this will be good for you,As I used this before, taste is also good,But remember that in flavoured protein you get less grams of protein than unflavored one!Thank you!!",
Ron,Okayish,1,7-Jun-22,Has a medicine like after taste and is too sweet.,
Suryansh,Very useful for me.,5,14-Mar-21,"I took this protein,and it is very good for health and contain 25g of protein one level scope. Its taste is delicious and easy to digest. Post workout this is very effective for muscle recovery.",
kapil,confuse,3,22-Dec-21,i order this product so many times but this time i got the product which is little bit wet and i got some difference in the taste .......,
Karan,Great Mixability | Awesome tase | Great results,5,29-Dec-21,I ordered 2 flavours- Strawberry and cookies and cream. Both of theme taste wonderful with water and even more delicious with milk. Mixability is great. And the best part- no bloating.Does its job pretty well at such low price!,
Advocate Amandeep Singh,Not same like before We order .. very bad in taste,3,18-Aug-21,This time your product is  totally different then before we order .This time bad in tasteAlso bad in absorbency.This time We rated zero Stars in ratingnot even single star you prefer in rating 👎👎👎Poor quality,
Udit Malik,I dont whether this product is original or not,1,28-Jan-22,"The media could not be loaded.
                
 I got this same produ t some time back and it was good.But this time while mixing it becomes into foam immediately and is not drinkable .I Have asked for returns lets see",
Om Veer singh,Not a not look like pure whey protein,1,10-Jul-22,"I am buy a gold whey protein of big muscle gold but that protein is not like pure whey protein like.,,,, the pure form of whey protein not consume very softly but this is very soft like look like a gainer type.",
Vaibhav,Good product,5,10-Sep-21,Good product do not get hasty it tastes time to develop taste first i posted a bad review because the taste seemed rancid but it takes time to get used to the taste overall they provide good quality i appreciate their work and product thankyou @ Bigmuscle,
Rashmi M,It's worth buying,5,19-Feb-22,It's good as it doesn't have any side effect plus the taste feels like a reward so it'd worth buying.,
Shrey gupta,Best whey gold protein in this price range,5,3 April 2021,This gold whey is a protein supplement which builds heavy muscle and body. Its gives a delicious taste of banana and it becomes more flavourful  when you drink with milk. Just drink before and after workout for better results...good product in this range,
Neeraj Singh,Simply wow,5,19-Jun-21,"Easy to digest and good product quality, no bloating observed and amazing in taste would definately recommend it",
Arvinda Kumar,Ingenuine and fake product,1,7-Dec-21,"Fake product being sold without scratch card, QR code and batch number",
Naga Penmetsa,not accurate info,3,15 April 2021,"I selected order with protein, creatine and PB(peanut butter) but I got protein, BCAA and PB.PB is very runny no so spreadable and expensive than outside.",
Arunraj,good protein supplement at affordable price,4,29 April 2021,"I have been using this for a month now and it is giving results, don't expect too much muscle growth generally based on your workout it changes. overall for muscle recovery and absorption it is good. flavor is just average, for the first week I found it odd, but then got used to it.",
Nirvaan Babbar,Great Product,5,30-Jan-22,"Using the product from long, 1st time bought Belgian Chocolate, overall quite effective priduct taken as protein diet and energize your body.This flavour Tastes good but i like strawberry and vanila the most",
Saksham,Best for Fitness Enthusiast,5,16-Jun-21,A perfect protein powder to complete the daily protein requirement. It's tasty and mixes well in both water and milk. I highly recommend this for a gym goer.,
Rahul Chauhan,"Very bad product , very bad mixability , very bad smile smile",1,7-Jul-21,Ek number ka kooda whey protein hai mixability kharab hai 15 minutes mix karne mein lag jaate Hain mahek bahute buri hai pahle hi din ke use se mere face pe daane niklne lage mai aap sabhi ko yahi kahunga ki ise bilkul bhi na khareede,
Ranesh,I got serious Abdominal pain ( Gastritis) issue.,1,26-Jan-22,"In the first week of consuming the protein powder does not showed any side effects but later on, it started to give discomfort in  my stomach and then after a time i got serious stomach pain which I have to go hospital.",
Asim B.,Good Quality and Authentic Whey,5,8-Dec-21,"Very good quality protein, I've been using Muscle Blaze before but this protein tastes much better and has higher protein content compared to Muscle Blaze.",
manu tripathi,Bad product,1,12-Dec-20,Worst protein powder i have bought. And im using protein powders for four years now. This time thought of buying this one as it is a bit cheaper. Bad call. Feels adulterated and bad quality.,
