"review_name","review_rating","review_title","review_text","review_helpful_vote"
"vijay rv","5.0 out of 5 stars","Good","Value for money",""
"Teja Sunil","4.0 out of 5 stars","Value for Money, Although it wasn't pure Stainless Steel.","Milton is good brand and it do make value for money purchase. Got it for Rs. 359 during lighting deal. Product looks good and as mentioned in description but there was a small dent on cap. Although it doesn't make much issue. If Amazon delivery was improved I hope they can avoid these damages.
As mentioned by few customers these bottle do get attracted to magnet. It do prove stainless steel they used to make this product isn't pure. It has more content of ferrous in it.
Anyway I have no issues untill it serves the purpose with out getting rusted and above all I seriously want to avoid plastic usage for drinking water.","28 people found this helpful"
"Manash","4.0 out of 5 stars","Good but overpriced","I have used it for the first time to avoid plastic bottle. I have bought it on Rs339. Here is my opinion about it.
Pros.
i) useful for regular home use.
ii) single wall bottle specially useful for fridge.
iii) made by 304 grade still.
iv) easy to wash.
v) good brand & well designed.
Cones.
i) bottle not so durable as my expectation.
ii higher price doesn't justify the product.","2 people found this helpful"
"Sumegha Bapat","4.0 out of 5 stars","Good product","Leak proof, good product",""
"Soumya","5.0 out of 5 stars","Worth the money","Just a leakproof steel bottle ...buy it if that's what you want.",""
"Amazon customer","1.0 out of 5 stars","Don't buy this prod","I don't like this product, within 7 day it's leak . And they didn't have return or repair policy","One person found this helpful"
"Balaji","4.0 out of 5 stars","Why am I getting machine oil stink","Opened the water bottle from wrapper and product looks good but what the smell.. I can smell some machine oil. Washed with hot water multiple times, left it aside for a day but still stinks. Don't know what to do",""
"ManojGowda","4.0 out of 5 stars","Nice product","Nice product",""
"Priyanka","1.0 out of 5 stars","Pathetic product","Na",""
"Gautam","3.0 out of 5 stars",""" Mixed feelings ""","Negatives first:
I found the walls of bottle a bit thin, high possibility of getting dented on a fall. Ground stability of an empty bottle not good. Empty bottle shakes due unbalanced base. Increased base weight would help to improve stability.
I found it slightly overpriced, may be due the brand.
Not suitable for hot water as walls get hot quickly and cannot be handled by bear hands (obviously)
Positives next:
Bottle cap has good quality rubber bushes to prevent leakage. Looks are decent. Walls are nearly scratch proof.","One person found this helpful"
"vasu1deivigan","1.0 out of 5 stars","Leaking water","Before purchasing this water bottle I gone through the all comments. Even though I brought this because of the brand name. I was using this for last one month. From today the water is leaking from the bottom of the bottle.
Don’t by this.
Poor quality.
Better buy plastic bottles.",""
"Yuvraj Zala","4.0 out of 5 stars","Caps plastic is sticked with cap half baked.","The plastic inside the cap is separated from steep cap in first few days so.. not a good design in that area. Other companies have nice cap Design. So yeah, overall decent bottle but won't go for it second time.",""
"suman kori","5.0 out of 5 stars","Good product","Should improve on leak proof part",""
"Aman sall","5.0 out of 5 stars","Very Good","Very Good Quality",""
"madhu priya","4.0 out of 5 stars","Nice product","Till now it is leak proof",""
"Guru","3.0 out of 5 stars","My cap is missing please sent a cap I will be grateful","My cap is missing please sent a cap I will be grateful","One person found this helpful"
"Sukhvinder","2.0 out of 5 stars","It's not good so I return","Because hot water change to cold water in only 1 hr",""
"Amazon Customer","1.0 out of 5 stars","It's leaking in less than one month use","It's bad quality material. Leaked in one month of use. Also does not come with warranty. Don't buy this bottle.","One person found this helpful"
"Gudikadi Rajendergoud","5.0 out of 5 stars","Good","Good",""
"Intety R.","3.0 out of 5 stars","cap is not that good, water leaks","its not that thick cap is not good water leaks when you open the cap , mouth of the bottle could be better water will spill if you are not careful while drinking",""
"Amazon Customer","1.0 out of 5 stars","Defective and most probably duplicate","Reeceived duplicate and defective Milton bottles. I ordered thrice in last one month but every time I received duplicate product (as a replacement). Misprint and misaligned Milton text at bottom and cap, uneven sizes, damaged misaligned cap from inside, bad finishing etc.",""
"Asha V","3.0 out of 5 stars","It broke so soon","It broke so soon not sure why",""
"Srinivas","2.0 out of 5 stars","Not upto the mark, of price","Average",""
"Nightofjan17th","5.0 out of 5 stars","At 314/- Its worth it","Its strong unless you want to smash it on someones head or deliberately side bang with all your might over the jagged end of the rock. Dont worry for normal use it will survive almost anything, even a filled bottle drop.
Its mildly magnetic but then SS304 under circumstances are magnetic.
Its convenient to clean as the opening is wide.
Its easy to drink as well from the bottle.
The cap has some plastic ( inside in it ) but then I live with that.
The finish is acceptable and properly buffed.
The stickers are a bother and maybe an emboss would have been better.
Its a great buy.","3 people found this helpful"
"Amazon Customer","1.0 out of 5 stars","बोतल से पानी लिक कर रहा है","",""
"Kamal Gola","5.0 out of 5 stars","Comparison with Solimo 1000 ml","Milton has been the uncrowned king for water bottles in India. Solimo's curved shape makes it fix tightly in backpack side-pockets while Milton's slim design makes it easy to pull. Solimo's inflated rings provide a good grip but then it can only be deep cleaned better with a brush. Whereas Milton plain surface makes it easy to clean. It is truly a fridge water bottle with 950 ml capacity while Solimo is 1 liter. Both are tall and a bit heavy to carry in a backpack side-pocket as the bag will drag to that side. Both are a bit slim for a cup holder in cars. The plastic casing inside the caps makes both leak proof.","2 people found this helpful"
"Vishnupriya Unni","4.0 out of 5 stars","Money worth","I have been using this for few months. No leak. Money worth.",""
"Arun kumar","5.0 out of 5 stars","Super","All products super iam happy",""
"Suhani","5.0 out of 5 stars","Good. Purchase","Not easy to clean but price vise it's good.",""
"AmazonPrimeMember","4.0 out of 5 stars","All good. One thing: The plastic cap gets loose inside the steel exterior","The bottle works well. The steel hasn't rusted in the last 1 month of use so that is good. The only issue is that when I try to open a cold water bottle in the morning, the plastic lid inside the metal exterior gets loose and I really can't open the bottle easily. You will know when you see the bottle. The cap is a plastic piece (which has threads in it) inside a metal exterior.",""
"Dr Mohd Asif pasha","5.0 out of 5 stars","Good quality","Quality is good",""
"R,Michael Sadhu","4.0 out of 5 stars","It's a good product","It's handy",""
"asim","1.0 out of 5 stars","Leakage from bottom","It started leaking from bottom side",""
"SHAMBHAVI","3.0 out of 5 stars","Short time buy","It's almost okay for short span of time.
It's inside smells if didn't washed for a day, it catches visible imprint easily(like of oiled fingers and stains remain visible untill washed)
Just an better alternative for plastic bottles.",""
"Mishear Singhal","1.0 out of 5 stars","Pathetic Product","There have been multiple instances of water leakage from cap. The cap also gets closed at uneven angles resulting in leakage. You seem to think that cap is tight but the moment you tilt it, there is leakage. After only 2 months of use, the bottle bottom has developed crack and water drops are leaking.
Not sure how to get my refund or what to do.",""
"Ashish Ranjan","4.0 out of 5 stars","Does the job.","The product at its price is good. Now since it's not an isnulated one, if you pour hot or warm water then it will be difficult to hold. But otherwise the grip is good. Not bulky. Elegant shape!",""
"Gaurav","5.0 out of 5 stars","Good product","In all below comment , people mentioned that it bad product but actually it’s a good product ,
1.) good steel quality
2.) inside cap is plastic with rubber gasket
3.) no foul smell after use
My overall experience is very good , RECOMMENDED PRODUCT, go for it .
Actually today whole goo***, YT, and other shopping webs are filled with payed reviewers .
So please choose product wisely.",""
"S Chakraborty","3.0 out of 5 stars","Same items but of different sizes!","Placed order for 2 bottles, with same specifications, together only. When received, from outside one is smaller than the other. Yet to check the quality of the products.",""
"Riyaz","5.0 out of 5 stars","Nice bottle","It's worthable for buying this bottle.",""
"Amazon Customer","4.0 out of 5 stars","Good value for money -overall rating 4 ,waiting for long term usage results","Received this second one within span of one week
Product is good but there is one small concern.
I read that 304 Stainless steel is normally non-magnetic but if the sheet is processed then it becomes magnetic
I could see that magnet was attaching to the bottle.Although this doesn't seems to concern, but need to check on the long run.
But design wise , it is no fuss simple sleek design","One person found this helpful"
"Motoaddict brothers","3.0 out of 5 stars","Quality is ok but not meets expectation","Quality need to improve.",""
"Die Katja","2.0 out of 5 stars","Leaking bottle","The bottle is leaking.",""
"Vasu Kandoor","4.0 out of 5 stars","Good quality","Worth for money",""
"Trilok Singh Rawat","1.0 out of 5 stars","poor experience","low quality product and i request to amazon please delist this product form your website.","One person found this helpful"
"jabir","5.0 out of 5 stars","Durable and good quality","Quick delivery. Easy to use. Wide mouth makes it easy to clean.",""
"Soumyadeep Ghosh","4.0 out of 5 stars","Stainless steel bottle, not thermosteel","It is a stainless steel bottle, not thermosteel.",""
"prasanth","5.0 out of 5 stars","Very good product","I would like this product",""
"Amazon Customer","3.0 out of 5 stars","Bottles Caps quality not good","The caps are made of plastic and covered with steel above it. On opening bottle steel covering comes in hand. Not satisfied with cap of bottle.",""
"B B","2.0 out of 5 stars","Poor built or faulty unit","The cap is separated from exterior stainless steel body in less than 2 weeks. Poorly glued or a faulty piece..",""
"Unknown","1.0 out of 5 stars","Low quality, not satisfied with the product","Low quality",""
"saikiran","4.0 out of 5 stars","Affordable","I liked the way of easy cleaning",""
"Sumit","3.0 out of 5 stars","Nice","I used for this product in journey.",""
"shubham chavan","4.0 out of 5 stars","steel","good",""
"Prateek Maheshwari","1.0 out of 5 stars","Not satisfied with the product","Leakage in the bottle.
Very very bad Quality of steel.",""
"harish aravindh A","4.0 out of 5 stars","Solid and leak proof","After 1 month of usage the bottle is still strong and leak proof.. luckily even after a 2-3ft accidental drop it doesn't showed any dent or leak, for durability I'll give 4star.",""
"NEETU GAUTAM","5.0 out of 5 stars","Great","I like his design",""
"Sridhar","3.0 out of 5 stars","quality of bottle is good","bottle quality is good but water getting iron smell and taste",""
"Praneeth reddy k","1.0 out of 5 stars","Not good lite rustic","Product is rusting,not leek proof",""
"Kindle Customer","4.0 out of 5 stars","A good durable water bottle considering the price.","I like the unisteel build of this water bottle. The branding could of Milton could have been done a bit better and it would have been easy to use if the mouth of the bottle was a bit smaller but the overall quality of the bottle is good.",""
"S.Archana","5.0 out of 5 stars","Best for Daily use","Easy to clean and I am using daily",""
"Avijit das","4.0 out of 5 stars","Quality bottle","Good quality bottle.",""
"Deepika annu arora","4.0 out of 5 stars","Go for it","Very nice product u can buy with thinking",""
"Sumilon Sarkar","4.0 out of 5 stars","Ok","Good product",""
"S.Vikas reddy","3.0 out of 5 stars","It is ok","In a display set of 3 their but sending 1 pec",""
"Brijesh","4.0 out of 5 stars","Easy to used","Recomand to purchase,but chill water not long time water as it is.",""
"Amazon Customer","3.0 out of 5 stars","Steel smell doesn't go even after use","Steel smell doesn't go even after use",""
"Pooja Gupta","4.0 out of 5 stars","Good product","Product is very good as per description",""
"Cathy","3.0 out of 5 stars","Smaller size than Last Buy","Last Year i had ordered the same item, that bottle was very nice. I Re Ordered the same Item, SMALL SIZE got delivered this time.
Last bottle Was BIG, this bottle is SMALLER 🤏",""
"SABYASACHI PATRA","5.0 out of 5 stars","Very good.","Very good.",""
"nilesh","4.0 out of 5 stars","Good","For first few days there will be odour of plastic. Keep dry bottle open in night.
Bottle is good, leakproof.",""
"jigishasawant","2.0 out of 5 stars","Bottle quality not good. Started leaking in 2 weeks of use","Bottle quality not good. Started leaking in 2 weeks of use",""
"Patra Kishore","4.0 out of 5 stars","Good product","Good product",""
"Gobi Krishnan","4.0 out of 5 stars","Bigger size","Okay",""
"pratik","5.0 out of 5 stars","Don’t fall for negative reviews, Go for it","Premium quality product. Don’t know why there are so many negative reviews. Anyway
- genuine Milton product
- original box packing of brand
- steel quality is good, it’s embossed on bottom of bottle.
- the quality of Cap is superb, very sound and leak proof.
Buy without hesitation. Remember always buy with seller “Cloudtail” I believe its Amazon subsidiary.",""
"P.PARASHARAMREDDY","1.0 out of 5 stars","Useless product not easy balance on table and worst cap fitting leaking water","Body size to large not easily balance on table",""
"Ayush Patel","5.0 out of 5 stars","Best water bottle","Water bottle me best products",""
"Akshay Kumar","5.0 out of 5 stars","A good single walled bottle for daily use.","The bottle is light as opposed to the dual layered bottle and that makes it prone to dents due to thin layer of steel although it's great for day to day use. The water stays hot or cold for good amount of time depending on weather but it's not as good as compared to double layered flask which keeps it hot or cold throughout the day. So overall it's a mix bag, if you require to keep it in car or a place where you don't have to carry it all day then you should go for the double layered model else go for this as it's more compact and lightweight.","One person found this helpful"
"Renjith","3.0 out of 5 stars","Looks good, but smells bad","The bottle looks good..problem is the smell of the stell, its not going after few washes also..i think its mentioned previously by another user...",""
"Chandra Mohan","4.0 out of 5 stars","Milton Aqua","The water bottle is reasonably of good quality. Though cleaning inside is a bit not easy, but it is ok. No leaks. On the whole a good product.",""
"Harsh Vardhan","3.0 out of 5 stars","NOT STEEL","It is not made of pure steel when tested with a magnet. Can't believe it is Milton.",""
"Neha","1.0 out of 5 stars","Not satisfied","Well I receive it on time... But it doesn't meet my expectations.... The material of the bottle is very thin...I don't think the water gives us 24 hours cold or hot water .... So after some time I returns it ....",""
"Mr. Ashoke Kumar Bagchi","5.0 out of 5 stars","Real non-magnetic SS-304 waterr bottle.","Excellent product. Easy to clean. Leak-proof. Water kept for longer time remains same as fresh. Nice built and finish.
Two suggestions.
1. For user; do not over tight the cap. The SS cap is loosely fitted. May come off when opening next.
2. For manufacturer; the total weight of a filled bottle may cause dent at the bottom.
A suitable ring to fit at the outer bottom would prevent it, when kept on hard surfaces like kitchen slabs.","One person found this helpful"
"afiyah","2.0 out of 5 stars","Leaking","It's leaking.. not able to carry in bag",""
"Hemant Patel","3.0 out of 5 stars","Not satisfied","Damage product.",""
"K.ANJANI KUMAR","4.0 out of 5 stars","Excellent","Good choice",""
"Deepika","5.0 out of 5 stars","Good.","Nice product at low price.",""
"pradeep","3.0 out of 5 stars","Looks gud","looks gud but worth only 100 bug. felt like money is only for brand name",""
"Vaheed","3.0 out of 5 stars","Good","Good",""
"PRADEEP BHARTI","3.0 out of 5 stars","Bad Quality","Bad Quality.",""
"Amazon Customer","4.0 out of 5 stars","Good product","It is good to carry drinking water, been using this, for more than a year. It is not insulated . Only drawback is the volume only 900ml",""
"kasar","3.0 out of 5 stars","Good but single layer","This is single layer bottle just like other normal bottles... Not that double layer... So ok ok product... But according to single layer, it is good",""
"Kirti","5.0 out of 5 stars","Worth it","I like how it's sleek and easy to hold. It's also leaf proof and I'm happy about that. No bad odours, bottle smells fresh always. So far no problems.",""
"Ashviny","1.0 out of 5 stars","Water smells","Water when stored in this bottle smells a bit metallic, I've been cleaning and airing it in sunlight but after few hours of storage it smells again. Unfortunately the package/outer box we threw so can't return it. Won't recommend buying this",""
"Vinpogo Facility Management Services (OPC) Pvt Ltd","1.0 out of 5 stars","Don't buy this item..","Already used iten has been sent,.. Water already there is water bottle",""
"Munshi M.","3.0 out of 5 stars","Quality not Satisfactory","The main material of the bottle is of low quality",""
"lav","4.0 out of 5 stars","Miss Rang bottle","Regular use bottle for middle class family",""
"NadimuthuCarsoft","4.0 out of 5 stars","good","Good",""
"Bhupendra Singh","5.0 out of 5 stars","Good","Good",""
"Punith Joy","4.0 out of 5 stars","Finish is not good","Bottle is made up of thin steel",""
"RVSL SUJATHA","5.0 out of 5 stars","Good","Good",""
"Kailash","3.0 out of 5 stars","Bottle is worthy","Good enough",""
"Vinod Kumar","4.0 out of 5 stars","Good one","Yes",""
"AB77","4.0 out of 5 stars","the steel is thin","The bottles are much thinner compared to other companies like Klean Kanteen. Given the price difference in India, cannot complain about quality vs price. Would recommend it. I personally like Klean Kanteen better.",""
"Sanjeev Kumar","1.0 out of 5 stars","Rubbish item","",""
"ks","1.0 out of 5 stars","Milton, I am so disappointed in you. Quality of bottles reduced since 2019","I had brought a couple of these bottles two years ago (in 2019). And I had liked them, so I reordered recently. But I was taken aback because the new bottles were light in weight and the finish of the cap wasnt like the older bottles I have. Also, someone mentioned a magnet test and indeed a magnet would stick to these new bottles. This didnt happen for older bottles. I thought may be I was sent a fake product. The seller was some company I didnt recognize.
So I returned the new bottles and placed an order again; this time with the seller as Cloudtail. But got the same result. So I am returning these too.
It seems Milton has reduced the quality of its product. I did not expect this from an older trusted company and brand name. Its such a shame and disappointment. I'd rather go to a local market and buy a better quality bottle. I am giving a one star for breach of trust.","One person found this helpful"
"RAGHAVAN PARTHASARATHY","4.0 out of 5 stars","Water leaks","Water leaks, otherwise it's good",""
"Suri","4.0 out of 5 stars","Not bad","If you keep hot water it can be warm upto hardly 2 hours (if you are purchasing to carry water to your workplace)",""
"nivedita","3.0 out of 5 stars","Milton bottle","Product is good
But it is just a simple bottle like another plastic bottles.
It doesn't work like a thermo flask
If you need a simple bottle then go for it
But if you need a flask then it is not the thing you are fond of..",""
"Vishal","1.0 out of 5 stars","Very bad","Wast of money",""
"Sibnath halder","5.0 out of 5 stars","Good quality bottle","Its pretty good... Someone in the reviews said its not steel as its magnetic but i would like to tell them that they should do their research first its 304 grade steel which is good and its non magnetic when produced and when cut, moulded or compressed it develops magnetic properties which dosent mean its not steel. I would request buyers to do a google search and then buy.. One thing to note that this bottle takes dents easily so don't drop it, else it will get a dent","2 people found this helpful"
"Ziya shaikh","3.0 out of 5 stars","Don't buy if you want use this bottle as thurmus","Don't buy if you want use this bottle as thermos, it's just a normal steel bottle. and the worst part is when you add cold water, bottle surface become colder from outside. when you hot water it become hotter outside",""
"Samina Shaikh","1.0 out of 5 stars","Not worth the money","It's very thin and leaks from lid",""
"Anandh Paul","2.0 out of 5 stars","Not very good product","The product came open and it even has water inside it.
And also I experienced bad smell inside the bottle.
It is also made of low quality steel..
I have just mentioned about what I got so it is better to get these kind of things from local market or shops.",""
"Umesh Kumar rai","1.0 out of 5 stars","Very low quality, poor product","",""
"Rajendra","4.0 out of 5 stars","Good quality, worth buying","It's leak prrof, liked the simple shape easily fits into any bag. Light weight. Pricing of the product it bit at higher side.",""
"Dilan","5.0 out of 5 stars","Great quality","This water bottle is very nice it is leak proof and especially it's durability is awesome .",""
"SHASHANK AGRAWAL","5.0 out of 5 stars","It is very nice bottle at very affordable price must buy products for winters.","I liked this bottle very much my family also loved this bottle too much must buy",""
"Mr Skt","3.0 out of 5 stars","Value for money","Just gor it. Best brand",""
"Manu","4.0 out of 5 stars","A nice product but lighter in weight than I expected","It's a nice bottle but found lighter than I expected. I was looking for heavier steel but still, overall a very good product and nice strong lid",""
"Suman kalita","1.0 out of 5 stars","In side out sid same temprasear","Not good",""
"Abhishek","5.0 out of 5 stars","Simple stainless steel bottle","Good bottle, simple sturdy.",""
"tushar","4.0 out of 5 stars","Good","Good",""
"Aisha kashyap","4.0 out of 5 stars","Nice product","Good product",""
"PVR","1.0 out of 5 stars","It is magnetic material .","As it is make of magnetic material material water gets iron smell. So I returned. Thanks to Amazon for its returnable policy.",""
"Dhananjay S. Ambekar","3.0 out of 5 stars","It's ok to buy if you Not looking for Pure Stainless steel","Overall Quality is ok but it's single wall so have to be very carefull while handling this bottle because you drop it on hard surface like Floor or Table it's got dents & it's very disgusting. Its not pure stainless steel cause I tested with 🧲 Magnet was ticked. So If you will Handle with care then go for this it's value for money.",""
"Manigandan.K","4.0 out of 5 stars","Good","Steel quality have to improve",""
"SANJEEV JAISWAL","5.0 out of 5 stars","Nice product","Easy to use, serve the purpose.",""
"Bablu Parihar","5.0 out of 5 stars","Good","Good in this price range you can consider it like a glass with a nap",""
"Antony","4.0 out of 5 stars","Had a dent on the cap","Standard design. Product recieved had a dent on the cap. Product handling needs to improved by Amazon during transportation.",""
"Amazon Customer","1.0 out of 5 stars","Metal taste in water","When water is stored for more than an hour in the bottle, the water starts tasting metallic. I didn't find it during the initial days after buying it, since I didn't store water. Later, found it after started using the bottle more, now it can't be returned.",""
"Rubina Kochar","5.0 out of 5 stars","Good bottles","Just replaced all the plastic fridge bottles with these ones. So far nice. These are light weight, leak proof, have a big mouth so easy tickets with bottle brush.
Time will tell about the durability.
Editing after more than one year of usage. These are perfect. Have bought for my parents and some other people too. Changing from 4 to 5 stars.",""
"vikas kumar","1.0 out of 5 stars","Quality is not good","Quality is not good",""
"Parasheri","5.0 out of 5 stars","Good product.","My husband loved it. He keeps it handy and it is easy to clean.",""
"Dinesh","4.0 out of 5 stars","Good product","Lite weight",""
"Murthy","1.0 out of 5 stars","Waste of money for the branded product","Leaking and easy to get dent",""
"Payal Sawant","4.0 out of 5 stars","Nice product","Nice product",""
"Irshad Ahmed","4.0 out of 5 stars","Milton aqua water bottle .","Well durability and easy to use.",""
"Honest Review","1.0 out of 5 stars","The bottle delivered is leaking from bottom.","The bottle delivered is leaking from bottom. What a joke.",""
"Asma","3.0 out of 5 stars","Ok quality. Overpriced","Okay quality.
Can find better for the same price",""
"Ankit","3.0 out of 5 stars","Not durable and untested quality","The plastic block from inside the bottle cap came out within just 4 days of use. Now each time i open the bottle, the steel caps slides off and plastic cap remains and then that needs to be unscrewed. Bottle also slightly wobbles on flat surfaces (i checked on 5 different flat surfaces).
Not expected from a Rs. 350 Milton branded bottle.",""
"Arvind Sharma","1.0 out of 5 stars","Not even a week and water in the bottle leaks","Very horrible product. Don’t buy it",""
"Amazon Customer","3.0 out of 5 stars","Good product","Product is good. Heat can remain upto 3 hours. But the only problem is it's difficult to hold the bottle when we put hot water. Bottle heats very fast. This is the only drawback. Its capacity is 1 liter.",""
"Vijay Belwal","5.0 out of 5 stars","Milton - Never let you down..","Good product as name says - Milton.. never let you down ..
1. Worth for money .
2. Good build quality.
3. No leakage notice since bought..
4. Also use as fridge bottles.
5. Good metal ..
6 . V good for cold water ..
7. Average for hot water ...
And using from approx for 4 month I feel that you can buy this bottle .. (highly recommended) 🙏",""
"kabir","3.0 out of 5 stars","smells like metel","i think it is better then plastic toxic bottles
i have smelled it metal cas it is metal but could have added some couting of something
but still i m satisfied . i will update my review after a month",""
"Navodit Singh","5.0 out of 5 stars","Best Amazon 😁","Best 😊",""
"Amazon Customer","1.0 out of 5 stars","Nobody should buy this product","It’s worse than our wonderful Tupperware bottles..",""
"Divya Dsouza","1.0 out of 5 stars","Don't buy this bottle","Don't buy this bottle it leak not good","One person found this helpful"
"Amazon Customer","4.0 out of 5 stars","Best one!","Good product...........Value for money
Satisfied with the product",""
"Dimple","4.0 out of 5 stars","Good product","Good product. Go for it",""
"Bharath Babu","1.0 out of 5 stars","Leaking","Small leak",""
"LOVE NIGAM","3.0 out of 5 stars","Its Normal Stainless Still Botal.","Light material, dent are easily made when drop. Not a thrmoset (hot & cool) bottle but water can be warm up to 2hrs.",""
"RK","1.0 out of 5 stars","Leaks","The content will leak!",""
"Jo","4.0 out of 5 stars","Quality","Good product",""
"AFSAL.A","5.0 out of 5 stars","I don't know how I describe about this bottle","It will fell down many times from my hand
Also from 2 nd floor to tiles
But it doesn't leaks till now",""
"Dr.Sreeja","5.0 out of 5 stars","Good product. Please don’t expect insulation.","Strong, leak proof, easy to clean and durable",""
"anjali singh","4.0 out of 5 stars","Good one!","It's good for the price...but yes, can be bend once it falls..specially the cap! While a good purchase..but can be improved!",""
"Keshav Panwar","3.0 out of 5 stars","Leakage","Leaking bucket",""
"Saro","4.0 out of 5 stars","Good product","Loved these bottles.... No leakage issue... No damages.... Nice and durable.... Really efficient... And is also reasonable in cost... Good product",""
"ALOK KUMAR JHA","5.0 out of 5 stars","1","1",""
"Bishwas Mishra","4.0 out of 5 stars","Lighter than air","The product is unbelievably lighter. Before buying I though let it be heavier but still it is durable But it is so light I am totally impressed. Packaging was very carefully and good. Came with no damage, bent etc. All is fine. The inside of the cap has nice insulation. I think it is made of rubber. Overall satisfied.",""
"Jyoti","1.0 out of 5 stars","Fake milton bottle","Do not purchase this. it's a fake milton bottle. The water turns normal within half an hour and the wattle droplets came out just after filling the bottle. It's the normal steel bottle fakely tagged as milton.",""
"shruti","4.0 out of 5 stars","Good","Good",""
"Ruchi Joshi","4.0 out of 5 stars","Good for handbag but not leak proof.","It's not leak proof. U hv to chk again N again f it's leaking",""
"syed Aqib","4.0 out of 5 stars","Good bottle","Amazing",""
"Ankush thakur","5.0 out of 5 stars","Nyc","Nycc cokd water k liye achi h",""
"Genuine Customer","4.0 out of 5 stars","Full of Bottle.","Very good product. It's leak proof. Material is stainless steel with single layer. So if you drop the bottle, then dent will be visible. It's just water container bottle not heat resistant bottle or etc.","One person found this helpful"
"n p s","4.0 out of 5 stars","Good roduct","Good product",""
"Sakshi verma","1.0 out of 5 stars","Leakage from bottle","Bottle is no of any use as it is leaking. Defective item",""
"Rajneesh J.","4.0 out of 5 stars","Good product but not durable due to cap quality","Its nice product, but bottel cap is very cheap in quality. Also i found water leackag issue from cap side if your bottle is in horizontal position. I think if Milton can give extra piece of cap would be great.",""
"M","4.0 out of 5 stars","Not worth","The cap leaks and the seal between the bottle and the cap has to be mm. perfect, else it drips.",""
"NITHISH","4.0 out of 5 stars","Overall good product","Good quality, leak proof product. The product is made of good quality stainless steel and durability is good.",""
"Anuradha","4.0 out of 5 stars","Light weight easy to carry","Good",""
"RamSaini","3.0 out of 5 stars","आंख बंद करके खरीद लो...","बोतल ठीक-ठाक क्वालिटी की है. परंतु थोड़ी सी महंगी है.",""
"TS Sharma","1.0 out of 5 stars","Plastic smell... even after 10 days of cleaning","Plastic & awkward smell..",""
"Ashu","1.0 out of 5 stars","Bad","Water do not remain in same temperature what is stored in it",""
"Vivek Vimal","4.0 out of 5 stars","u can try","its a nice product.. u can give it a try ..its logo starts to disappear after 3 months of regular usages. I m a college student and it makes me feel good whenever i drink water from this bottle around my friends☺️",""
"Arti","4.0 out of 5 stars","Product","Quality was good and it was as well as in the picture but which I got that Lil' damaged......☹️",""
"RASHEDHA FARVEEN","4.0 out of 5 stars","Good one","Its good but not travel friendly on backbags .. it slip on from the bag often .. when the bottle is full its hard to carry on .. its like i need to have an eye on it all the time ..
When our hand are wet its hard yo hold on so slippery","2 people found this helpful"
"deepa bisht","1.0 out of 5 stars","Bad Quality and Damaged","Two times I exchanged the product both the times they sent bad quality bottle.",""
"techgirl","5.0 out of 5 stars","clean","guys you can use it as a temporay maybe one year bottle. It is clean and you can use it after one wash. It can contain sufficient amount of water that yo u will need.",""
"Tharun","4.0 out of 5 stars","GOOD","Good one",""
"ROHITH E","3.0 out of 5 stars","Quality issue","Still I have nt opened the box since I didn't like the quality of the product. So I want to return the product. Arrange for the refund",""
"SP","4.0 out of 5 stars","Is it Original Milton product","Good product, but design does not match with product shown in Milton website. Not sure whether it's original.",""
"Amruta","1.0 out of 5 stars","Worst experience with Milton.","Worst experience. Ordered considering its Milton product. Returned 1 of 4 bottles due to damaged & old product recieved. And rest 3 bottle cap water proof seal was out in 1 use. The water taste wired even after washing bottle and using it. And now can't return it bcoz I hv used it.",""
"ADA","4.0 out of 5 stars","Quality of steel bottle is good","Good product. Keeps water warm. Not thermos flask. Quality as a steel bottle is good.",""
"Jayant Kapare","5.0 out of 5 stars","Good water bottle","Good for daily uses, water leakage if cap is not tightly fitted.",""
"Ashish","4.0 out of 5 stars","Good buy","The quality of the product is good. It's easy to clean and leak proof plus it has a decent look.
Drawbacks
Oil smell in intial days
Milton logo in black ink is fading away after some use.
Overall a good product.",""
"Anjali Jiju","3.0 out of 5 stars","Leak proof","It’s leak proof. Not sure about the hotness since I’ve nt used for hot water",""
"Channabasavaiah H M","5.0 out of 5 stars","Sturdy and Super","",""
"Umashankar","5.0 out of 5 stars","Good product","Extensively using and a product to buy online as well",""
"Nimisha Gupta","4.0 out of 5 stars","Quality was not good","The bottle is not keeping water warm for a long time",""
"Prakash Pitroda","4.0 out of 5 stars","Very good quality","Very good product",""
"Ravinder Kumar","4.0 out of 5 stars","Awesome product","Though it does not hold temperature for longer but stuff is quality one and grace is excellent. Useful product.",""
"Vipin Kumar","3.0 out of 5 stars","Average","Single layer bottle. Hot or cold liquid remains for the short time.",""
"Manorama Swain","5.0 out of 5 stars","Good","Best product paisa asulu low price best quality",""
"A.Manik Dath","1.0 out of 5 stars","Waste of money","Lid not fitting property.
Water leak horaha hai.",""
"DHARMESH","1.0 out of 5 stars","This is a useless product","The cap of the bottle is leaking and i am facing this problem after using it for just 2 weeks. Initially it seemed a jice product but iam facing this issue now so will not recommended this product to anyone.",""
"Rohit kumar","4.0 out of 5 stars","Milton steel bottle","Price is as equal as market rate. not more benefits. Product is useful to daily use instead of plastic bottles.",""
"Kim","2.0 out of 5 stars","Returned: wasn't satisfied with the look and feel.","I was expecting better quality from Milton, this wasn't upto the epxectation, hence returned.",""
