"review_name","review_rating","review_title","review_review_text","review_helpful_vote"
"Nancy","4.0 out of 5 stars","Good for the price given","Nice phone , nice battery back up but when using google maps battery drains so fast, and if you use it while charging phone heats up a lot, very fast charging, awesome camera clarity, single port for charging and earphones, sometimes the voice comes from speakers even after being connected to earphones, when charging using wireless charger, it heats up a lot",""
"rupinder","3.0 out of 5 stars","I miss my OnePlus 6","Android v/s iOS
Pro Apple
1. Tons of privacy features and solid implementation. Every new app installed needs permission to send notifications.
And with a future update, facebook won't be able to track what you're doing in other apps outside of Facebook. This deserves an applaud.
2. Battery
The battery is amazing, giving more than 6 hours of screen on time. OnePlus can't touch this. If you bring this up with them, they'll distract you by saying it has fast charging.
3. Camera - photos are ok and decent BUT, DAMN, the video quality is amazing. Totally stabilized ready for uploads.
4. Build Quality - SOLID.
5. Continued updates for years and years. An android may last you 2-4 years, and the updated would be ""raam bharose"", but these new iphones especially will easily last 5 years minimum with no compromises on software and security upgrades.
6. Less features, but they work 10/10. Example, auto fill OTP option in keyboard works every single timein iPhone. In Android, if your keyboard is open already before the otp arrives, then this feature won't work. Half baked implementation.
Pro Android / Anti - iOS
1. Notifications. Notifications centre on iPhone SUCKS. I have missed email notifications regularly. Android does this so well.
2. Implementation of new app library feature sucks. This creates a very confusing situation. The way to solve this would be if the auto-folders in app library could be manually managed.
3. Screen Sizes and Notch - The Notch is a disgrace for iphones when the iphones have reached the level of punch hole displays. Hoping the next year's model can make it better.
4. No Truecaller in iPhone and no call recording. I can forgive the call recording considering the privacy first model, but truecaller is a pro to privacy.
5. CHEAP QUALITY OF CHARGING CABLE. For a luxury brand, this is a disgrace.
6. PRICE - Yes, iphones are expensive BUT, paying +10-15k for a phone available cheaper in Dubai / USA really pinches. Damn Taxes.
7. Yes iPhones run smoothly but don't think that these don't stutter. I face very light stutters now and then and I restart at least once a week whenever I encounter it.
I'll probably give this phone to my family member against their iPhone x since they're way too deep in ios ecosystem now.","26 people found this helpful"
"BINJ RAJ SINGH","4.0 out of 5 stars","Display 10/10. Camera 10/9. Battery 10/7.","No finger print sensor, Mobile get very hot during charging and camera using.","One person found this helpful"
"s3r","4.0 out of 5 stars","Best selling phone in the world!!!","No wonder Apple makes some of the best phones in the world. Iphone 12 deservedly is the highest selling phone.
I was upgrading from iphone 7 which served me well for 4 years, which I exchanged for this.
The delivery & exchange formalities were smooth.
The phone itself is surely an upgrade when compared to 7, the display is top notch, the camera is probably the best there is, the face unlock works like a charm, what's to say about the best phone, it works even better than advertised.
The only problem like always is the battery which hardly lasts a day & charging time is also an issue, it tends to heat up a little while charging but with the previous experience with iphone 7, the longevity of the phone is guaranteed with the timely updates from Apple, the premium which an iphone demands stands justified with a superior product.
Some people tried to discourage me from buying an iphone from Amazon claiming warranty & support issues. But there's no substance to such things. I confirmed the warranty & product registration from Apple, it's as advertised.
Since most of us are going to use it for a longer period of time, it's prudent to opt for the extended warranty offered by Apple which costs around 16500 which gives us an extended year of warranty. Do remember to do this within 3 months of your purchase.","2 people found this helpful"
"Sid P","5.0 out of 5 stars","Perfect Phone!!!","The phone is just awesome. I was using iPhone SE(2016) 4inch screen previous to this.
I was a little skeptical about switching to a larger screen phone, but upon using it I am surprised that the phone doesn’t seems that much big. The size is just perfect.
No need to comment on other features of the phone. I just love the iOS..so naturally it was going to be iphone for me😀😀",""
"Manish","4.0 out of 5 stars","Face id doesn’t work properly.","Face id is not working properly.",""
"Rajesh kumar agrawal","5.0 out of 5 stars","Nice phone","No fingerprint",""
"RONIT KUMAR","5.0 out of 5 stars","Iphone is batter but portrait mode is bad 😞😞😞","Iphone is better because of logo but in nowadays we miss many things like fingerprint, high quality portrait mode like samsung",""
"Ram upadhyay","5.0 out of 5 stars","Worthy♥️","I have been using Iphone12 since Feb & believe me it worths every single penny.. Camera, battery life, design everything is perfect for me..
I have attached some of the photo sample which I took..
It’s really satisfying!!!!","3 people found this helpful"
"Roshan","3.0 out of 5 stars","Good but lot of money","Bought it 2months ago. Mobile is satisfactory but after buying it u will feel like “why did i put (waste) so munch money ( 61k) on this iphone”. If u don’t gonna feel like tht after buying. Then u can go with iphone","One person found this helpful"
"Amazon Customer","5.0 out of 5 stars","Apple is Apple!","I keep coming back to Apple, after using flagship android phones.",""
"Gokul Thambi","5.0 out of 5 stars","Its an iphone mhn.. exceeded my expectations❤️","Just go for it guyz … you will never get disappointed.. go for the black one.. its a beauty..",""
"Rishabh","4.0 out of 5 stars","Amazing phone","Phone is amazing . Battery could be better . Amazon cheats people in the name of prime membership . Amazon says sale will be started a day before for prime users but they don’t tell they will keep the price high that day just to fool people . They reduce the prices just after sale starts for non prime users. So be aware of this .",""
"sreekanth","3.0 out of 5 stars","heating issue","overall a good product with some drawbacks of iOS, device gets heated even if there are gaming apps or high processing apps are run",""
"randhir kumar","5.0 out of 5 stars","Premium feel","Nothing to say because its iphone- * Best display i ever seen infact better than high end Samsung smartphone, battery quality nice, camera awesome. Upgraded from iphone XR. Trust me guys no any android phone beats iphone in any class. Super feeling to hold, compact Size, premium look. If u are looking for overall beast for moderate to heavy usage go for it without any hesitation. I think price dropped more in future beacause now chip will be made in indian apple factory. I you not use iphone before purchase it then u will see the power of iphone. Only thing u will disappointed with the battery. It will last only 5-6 hrs of moderate use. Using fast charger will reduce the pblm slightly but need for improvement.",""
"Betsy Benny","3.0 out of 5 stars","Package was worst!","Bought phone for 60000, but the package looks like I bought some cheap product!
Worst packaging.","One person found this helpful"
"akash meher","5.0 out of 5 stars","The best phone ever i have used in my life","",""
"Customer","4.0 out of 5 stars","Good and worth buying","Reviewing after using it for few days. It's working nicely just i have a issue with the battery but i think its quite better then previous iphone's else everything is fine and worth buying it 😊😊",""
"SHIVAM SHARMA","4.0 out of 5 stars","Apple should wait for at least 2 years before launching a new iPhone.","Well they are a multinational conglomerate and I have simply purchased a product of theirs, so I shouldn’t be commenting on their product launching strategy. However keeping this aside, I would try to genuinely help those looking for reviews before buying, in a few simple steps.
1. Go for it if you are going for an upgrade after 3-4 years, as it will give you some flawless experience again.
2. Battery life is not upto the mark, I feel XR that I used before this had a good battery, maybe I am wrong.
3. Face ID has got no significant improvement at all, again I think XR had a better face detection.
4. Camera I could sense something has been done.
5. Coming to interface and product performance, it is flawless, smooth, faster.",""
"AbinayaCR","5.0 out of 5 stars","Works wow😻","Can trust amazon with no doubts for an iphone…no issues found in packaging…iphone looks and used best as always😻",""
"Mini farmer","5.0 out of 5 stars","Best phone","Phone is best but some of the features could be easily availabla",""
"Rekapalli arunkumar","4.0 out of 5 stars","Iphone 12 spr mobile mind blowing 😍","Camera 📷 was super experience decent battery life i am satisfied this mobile🥰",""
"shubham","4.0 out of 5 stars","Fabulous products","I am satisfied by amazon amazing products",""
"ARGHA SADHU","5.0 out of 5 stars","Best phone😍","Great product.
Finally sold my kidney to buy this.
Totally worth it.","One person found this helpful"
"Rabiul shaikh","4.0 out of 5 stars","Satisfied","Battery life good",""
"Sanjib M.","4.0 out of 5 stars","READ before BUY ! ""Iphone 12! Worth buying or not?""","From owner POV, It's completely different experience for me as I've come from a long line of android platform. But the UI is very attractive. I think it surpassed my expectations as a consumer. But as a rational thinker, 79k is a lot for a phone which carry a little amount of specs ships. I'm lucky that I have a Amazon business account, so getting a GST bill.
As per the limitations :
1. 60 Hz display (with the beautiful UI animations, it doesn't feel like one)
2. Google exceeds on Maps, contacts and AI capabilities.
3. Hefty price tag. (I mean! Wtf is this! 80k! Are you serious?)
4. Necessity of a 1900 INR charger (That too of 20W and without extra cable. Why?)
5. One sillicon case worth 4600 INR ( Sorry! My name's not Sanjib 'Ambani' ! Terrible joke! I know! I left my sarcasm capabilities at an Apple store for leverage.)
Advantages:
1. It's a flagship iPhone 12 with A14 bionic processor and it's best in the market.
2. The UI and the optimization (And I came from an Android background.)
3. Display (Can't find much difference if you're a Samsung flagship user.)
4. The design and in-hand feel.
5. The build quality, you can feel by holding it that it's premium.
Overall, I found it very attractive and worthy of the money spent. (Because I am telling my mind this only as justification for a 80k expenditure)
On a serious note, as coming from an Android background, if Samsung could launch a flagship with Snapdragon latest processor, I could think of buying that.
But iPhone 12 in 2020? its a technological wonder. It's very slim, premium and beautiful.
If you're comfortable to spend 80k, you should go for it for a wonderful experience.","46 people found this helpful"
"Abhishek Yadav","5.0 out of 5 stars","Review of iPhone and Amazon","Wife gifted me this phone and it is very amazing phone and feel of premium you get only when you hold it in hand and use it 10/10 rating for this iPhone 12 product and Amazon delivery was late 3 days somehow because of Holi holiday but that’s ok finally got my first iPhone and entered in ios from android",""
"GANGADHARA R.","5.0 out of 5 stars","I like camera","Superb phone. I like iphone brand because I have feel royalty. One of the most branded phone in the world. Thank you Amazon.","One person found this helpful"
"Tanveer","4.0 out of 5 stars","Amazing","Good","One person found this helpful"
"Oskie","5.0 out of 5 stars","If you can afford it, buy it !","Best phone I have had till date !","One person found this helpful"
"Hemant","5.0 out of 5 stars","Match to my personality","An apple a pocket keep all the problems away",""
"Sarabjit Singh","5.0 out of 5 stars","I rated is 5 star","I do not think that iPhone requires any review. This is awesome product which always gets 5 stars","One person found this helpful"
"Satyajeet yadav","3.0 out of 5 stars","Poor Battery performance & Charging time.","Battery performance is very Bad. And charging time is also more than i expected 1.45 hrs approx 2 hours.",""
"Amazon Customer","2.0 out of 5 stars","iPhone is just a Fad.","Ergonomics to use - bad design . Fingers pain after holding for sometime especially while watching videos
Features- not good at all . Android has more and better features.
Battery life - so so only. Android phones give better battery
User friendliness - pathetic. Everything is complicated. Even to not lift a call they have made it so difficult. Why is everything made so difficult and hide behind the Fad .. it’s iPhone, Got it be different. Engineers in apple have to seriously introspect from common man’s view.
Summary - Give it a miss. There are much better android phones at same price point. This is just a Fad.","One person found this helpful"
"Ramakrishna Bysani","4.0 out of 5 stars","Great phone with not so great battery","My iPhone 12 working smooth after 2 weeks. It was not an easy transition from android to ios. Lost some data on my WhatsApp. Phone is great but battery life is pathetic",""
"Sayantan Pal","5.0 out of 5 stars","Classic Smart Phone","Excellent experience from Android to iOS.
I Phone 12 is a fantastic phone.
Camera is superb.
Display is superb.
Touch and overall sensitivity response superb.
We all know only lag is battery.
But it's ok if you are an average phone usergo for it",""
"Anand Engg.","4.0 out of 5 stars","Expensive mobile","Product is good but on the back side 2white mark those easly visible my advice purchase offline any apple store because store give 5000 less price compare with Amazon and flip kart",""
"Jayprakash s.","5.0 out of 5 stars","Genuine product thanks a lot amazon I purchase this device 20 jan 2022 work fine","Best one",""
"Abhishek James","5.0 out of 5 stars","For first time iPhone Users","When the iPhone 11 prices were announced, I was in a dilemma whether to go for the 11 or wait for 12. And since it was my first iPhone, I thought why not get the 12. The logic being: The phone will last for a couple of years (provided you don't drop it often), and if you are looking for a phone for a long time horizon, then go for the 12. This one with the better chip and the display will be able to handle the upcoming updates as well the apps which will get even more intensive in the future.
All technical specs are really good, display is an OLED one, even visible in extreme sunlight. Build quality is miles apart, my brother uses a Samsung Galaxy Note 10+, and holding this one is way way out of the leagues of all the android phones. Processor and RAM are capable of even running multiple intensive applications, I had Adobe LightRoom, iMovie, and a couple of apps open, all to slide between them seamlessly. The trick here is that since apps are only made for a very few iPhones and iOS versions, these apps are hardware integrated, hence work better. A classic example is Instagram. Instagram does feel a bit more polished on the iPhone than android. FaceID even works when there's no light, so thats that. But it can't identify you with the mask, you're left to the PIN when you're in the outside.
The Battery: Yes it has a smaller battery, yes with intensive use it will run out in a day, but if you are a bit prudent with it, it'll definitely last for more than a day. I use 4G in between, outdoor photography a bit, editing, email, Apple Music, Youtube, WhatsApp and Instagram. By the end of the day (7:00 PM) , I usually have 40 percent remaining.
So yes, its an iPhone and yes its really something nice to hold and use daily.","38 people found this helpful"
"Satish Kumar Kaushik","4.0 out of 5 stars","Good product.","Good reception. Phone is very good. Packing and delivery by Amazon is very good and timely.",""
"Mahesh G","5.0 out of 5 stars","Good","",""
"Sujith Kumar Elijah","5.0 out of 5 stars","Cute, compact and handy","Bought this mobile after lots of confusion… but this one works like a charm and fits my profile… neat and definitely decent looking phone…",""
"Nishant Verma","4.0 out of 5 stars","Superb","Nice mobile camera quality superb but some hitting issue",""
"Amazon Customer","4.0 out of 5 stars","Amazed by Amazon. Satisfied by the product and its packing'sng","",""
"Sunny birari","5.0 out of 5 stars","Awesome","",""
"P Bharat","5.0 out of 5 stars","It's great phone","Like so much happy 😁😊😊😊",""
"Dilshad khan","5.0 out of 5 stars","Feature loaded mobile with excellent quality camera","Feature loaded mobile with excellent quality camera",""
"Dhiraj Subhash Deshmukh","5.0 out of 5 stars","Green colour is unbelievable trust me…it’s more beautiful in real","1. It’s was a one day delivery like I got my product exactly within 24hrs
2. Product is genuine ,ordered from Drishta electronics Nagpur.
3. And iPhone 12..it’s like living in another world
4. Audio is much better than anyone can imagine, like it will give you a 8D experience in speakers
5. And face lock is unbelievable, it can detect your face even in no light.
6. Got more than what I expected except an adapter.",""
"Lav","4.0 out of 5 stars","Great purchase!","I used to use an Android phone till 2014 and wanted to switch to iOS, so the same year I bought iPhone 6, It was good to have an iOS device and the performance and the cameras but those were sufficient only until next year when 6s launched. Though I was a fan of the iPhone 5 and 5s box design but couldn't buy them somehow. I wasn't and I'm not crazy about changing or upgrading phone every year so in 2015 I bought again iPhone 6s by having a thought that this phone has everything which I needed ever, except for box design. Now I was satisfied enough with this.
As time goes on and years passed away many iPhone models came but I wasn't eager to buy any of them but when this year series 12 launched, that made me excited to buy because firstly I was technologically behind and secondly the nostalgic box design.
Years ago, when I switched to iOS, I'm quite satisfied with it, I never thought and want to go back to Android.
When it comes to iPhone 12, it's a great and beautiful device. Smooth performance, good battery life, overpriced of course but people always have the choice to buy it or not. Though face ID is new to me and initially little inconvenient compared to touch ID, hopefully, I'm gonna used to of it.
I bought a 128 GB device as per my requirement and colour white because finger prints on back are not visible, compared to other darker colours.
INR 3000₹ Discount on the colour white, plus 6000₹ HDFC instant discount. Effective price 76000₹. Unfortunately Charging Brick isn't included and it coasted 1900₹ more for 20W USB-C from Apple India website.
Overall it's a great device and satisfied purchase but overpriced for sure.","3 people found this helpful"
"Tejay singh","5.0 out of 5 stars","Go for oneplus i think","Only camera is positive point",""
"Anurathan","4.0 out of 5 stars","It's good but not value for the money","Hmm",""
"Balakrishnan Tirunelveli","3.0 out of 5 stars","Better","Better",""
"shubham chaturvedi","5.0 out of 5 stars","Best phone for IOS user.","",""
"mitul","5.0 out of 5 stars","Excellent","I am too happy thank you Amazon","One person found this helpful"
"Vineeth","5.0 out of 5 stars","Awesome product","Iphone 12 is very good phone.
# Good battery life aprox. One day for normal usage.
# Amazing camera for video and photo
# very good display
#no heating issue
# Using Apple Original 20 w adapter , 1.20 hrs for 10- 100 %charging","27 people found this helpful"
"venky","5.0 out of 5 stars","Perfect","Perfect for my usage",""
"Amazon Customer","5.0 out of 5 stars","iPhone 12","Best phone 😍",""
"MK","5.0 out of 5 stars","Best for given price","Worth it
Just go for it 👍🏼",""
"Yash","5.0 out of 5 stars","Best and the most premium phone ever used","The phone is amazing the size is good compared to normal 4.7 inch but if u wanna buy it then surely go for 128 gb otherwise 64 would be full under few days
The battery life is amazing
The display is good too it’s oled
And those security conscious people the Face ID is very secured it’s lightning fast and quick
Thanks
Best phone ever","One person found this helpful"
"Piyush Prakash","5.0 out of 5 stars","Awesome value for money, specially after recent price drop.","Excellent value for money, and great peace of mind. Better investment than any android flagship you can get for the money.",""
"Shubham Rajput","4.0 out of 5 stars","Phone that never ends","","One person found this helpful"
"Saurabh","5.0 out of 5 stars","An Apple makes the day better !!!❤️","I was initially very much afraid to buy apple phone because I never liked ios or apple ecosystem, but when I used this it was just awesome!
You cannot compete the smoothness with any other device.
My thoughts/ rating:-
Camera : Good but selfie cam is not upto the mark
UI : user friendly and easy once you get to know it
Performance : Unbeatable
Audio : Best… its like surround sound system!
Fit and finish : The best!
If you agree with my views please hit the Like button below ! Thanks!","One person found this helpful"
"saikirankalisetti","4.0 out of 5 stars","Iphone 12 😇But Price is very High","",""
"Aparna","4.0 out of 5 stars","Not that satisfied as it is projected.","Didn't like the selfie camera. And there is no finger print reader. Face recognition sometimes doesn't respond .",""
"Siva K Rao Ventrapragada","5.0 out of 5 stars","It seems to be the real phone😂😂","This seems to be the real phone. I really wonder so many other brands have heavy spec list, but don’t work like a phone. This is simply fast and comfortable to navigate and use. I use it for office purpose, the spreadsheets, word & pdf open with comfortable alignment to read, alter and use. And the signal is uninterrupted even in the elevator. Switching between Wi-Fi and data is smooth. Finally it is the real phone👌🏻😇",""
"raajan","4.0 out of 5 stars","Worth for money","It’s very good product and genuine product worth for money",""
"Sunil Gururani","5.0 out of 5 stars","worthy product for new technology lovers","A good phone to buy.",""
"Harshvardhan Tiwary","5.0 out of 5 stars","iPhone 12 review","Awesome product",""
"vikram","4.0 out of 5 stars","Gift pack is not there in it","I like the mobile",""
"tarun gupta","5.0 out of 5 stars","Very very love phone","Very nice nd love apple",""
"Amir sohail karimi","5.0 out of 5 stars","CAMERA IS LAST QUALITY","Charger is also with phone too is Need","One person found this helpful"
"Prabhjot S.","5.0 out of 5 stars","Nice, Awesome phone I loves to using this❤","Awesome about IPhone 12 are camera, face recognition, easy to carry., just size is little small. Other wise I love ❤this. Just first day for more I have to use this for minimum a month.","One person found this helpful"
"Rajkumar Verma","5.0 out of 5 stars","Very good","Yes",""
"Shrishail m bekinaL","5.0 out of 5 stars","Good Product","Iphone 6 To iphone 12 my Second iphone this one
Battery Life is good
Face recognition Is Wonderful within second Recognise Face
All in one Is Iphone 12 Is Good","One person found this helpful"
"Auof md","4.0 out of 5 stars","If you don’t have an iPhone, you just don’t have an iPhone. “قيمة المال” 📱","ಸಕತ್ form factor
रंगीन variety of colours.
DISLIKES
Notch & Comparative less battery than Pro models",""
"Krishna","5.0 out of 5 stars","iPhone 12 review","Honestly if you have a XR, you don’t need to go for this unless you are a core fan of video games. For a normal user, any Apple phone above 6 is still a good bet. No need to spend money unnecessary.
One thing I liked in this model is the new phone set up by keeping old phone near. It was awesome simple.","One person found this helpful"
"Samuel","4.0 out of 5 stars","Battery life","Everything is perfect awesome. But very disappointed in battery life. It stands less than a day. Even I'm not using more data in this phone. No social networking.
Waiting for update version.",""
"Bharat Chauhan","5.0 out of 5 stars","Overall good","Good performance phone but camera is decent.
Battery is okay.
4k video recording awesome
But camera should have more pixels and zoom levels, even my 3 years old realme phone has more clarity.",""
"ZAIDAN","5.0 out of 5 stars","Performance over battery life !","I was an android user from past 5 years mainly I’ve used huawei devices. After shifting to ios, the main thing in felt was fluidity and simplicity of ios, well i liked ios as it’s clean os. Rest thing you know how much great it is. Here comes battery’s backup, the main question of most people. I’ve one word for you all, that it has got *performance over battery. I think its all i can explain",""
"Tarun","5.0 out of 5 stars","Makkhan","Light weight handy smoothness fully swaad phone","One person found this helpful"
"Shahil J.","5.0 out of 5 stars","Great..","The performance is amazing. Potrait mode could have been better only If there was a telephoto camera instead of ultra wide. But I am ok with the ultra wide. Many complain the battery life is not good but for me I am able do last one whole day with single charge. Surely it depends upon person to person usage. Overall i am really happy with this mobile.",""
"Moji Ado","5.0 out of 5 stars","low battery life","I mean everything is good until u know that the battery life is only 2815mAh. that's worst than iphone XS and my ROG phone have 6000mAh, but still better than iphone 11. Also once it so happened that it face recognised both me and my friend : ). but than it was normal again once i re-faced my recognition. overall its good go for it.","One person found this helpful"
"Dr.MCDas","5.0 out of 5 stars","Why should I like iPhone 12","I liked the product. Fingerprint reader should have been there for easy,safe and quick operation. I am not so sure about the face recognition.
Atleast the screen guard and charger must have been provided.",""
"Suyog","4.0 out of 5 stars","Most premium design and display quality","I have selected black shade. One of the best displays i ever seen on iphone with super light weight and slim design. No matter it feels so much premium on hands and cheese smooth lag free ios experience. Loved it","2 people found this helpful"
"Rithen Kumar Pradhan","4.0 out of 5 stars","Good but","Over all phone is good but the magnet into iPhone is not good because heart patient people are facing some problems.",""
"Jones industries","5.0 out of 5 stars","PROMPT DELIVERY","LIKE PERFORMANCE",""
"Srinivaś Velpulá","5.0 out of 5 stars","Genuine product from Apple","It’s seems to be cool and genuine product from Apple. It has a lots of features in iPhone 12 no doubt at all. Overall so good. Delivery guys also very polite and cool guy. No tampered out. Sealed piece, and no scratches.
Thanks","One person found this helpful"
"awesome","4.0 out of 5 stars","Butter smooth & Superb camera.","A bit pricey compared to Android but worth every penny. Main camera s superb , wide camera is good. Best low light photography experience.",""
"Nirmal","4.0 out of 5 stars","Superb","Love the phone, happy for the fast delivery",""
"Ankur","5.0 out of 5 stars","Butter smooth touch .. and good battery life..","Phone has a very smooth and touchscreen.. battery life has been performing well as well.
Look feel and size are 2nd to non.
Bought it for my better half , who was using android, she was not sure of getting use to the Apple way of using it, but in 2 days she was fine with it and now she is loving it.",""
"bikramchhetri","4.0 out of 5 stars","Battery life is little disappointed","Battery is little disappointed everything is good expect battery life",""
"Vivekanand","5.0 out of 5 stars","No Comparison!!","Its outstanding. I was using iphone 12 mini. Size wise this is better. This is amazing machine. Camera is great, performance is amazing, display is outstanding. Using iPhone 12 is some thing I never experienced before. This is fantastic device.
Ratings
Speed - 5/5
Display - 5/5
Battery - 5/5
Weight - 5/5
Camera - 4.5/5
You need a proper light for great photo. In low light sometime photo is quite dark but original.
If you are new to apple eco system then you are going to experience something great. If you have already used apple devices then it will not disappoint you.","3 people found this helpful"
"Ashutosh Salunke","5.0 out of 5 stars","Great until you see someone with 13.","Great phone.
If you’re buying iPhone for first time or upgrading after long time go for 13 as Apple has increased battery and improved screen durability in it.
Otherwise I can’t feel much of a difference.",""
"sam lama","5.0 out of 5 stars","Performance","Awesome",""
"Sakshi agrawal","3.0 out of 5 stars","Iphone12","I bought this phone 10 days ago and its heating up on charging since then","One person found this helpful"
"Gangadhar","5.0 out of 5 stars","Very nice product","Very good handset",""
"sk","4.0 out of 5 stars","Great phone. Prices in India not so great","Battery life is good. Great display. Point and shoot is always good on iphones. Phone has all that you need.
Prices is always high and we still buy like fools and to top it we dont get earphones nor the power brick.
The last thing is we do not get quality military standard drop protective cases which is the worst thing its nothing related to phone but good to know info. Even if you get they are some of the worst ones and price is atleast three time more compared to the original product price.
And if your buying Apple warranty you will keep draining your money as they have the worst support. They only believe in replacements and I am sure its not worth it to pay 18k for an year.",""
"Shadab Khan","5.0 out of 5 stars","Very fast phone in compact thanks to apple","Good",""
"Gireesh Nasina","4.0 out of 5 stars","FaceID is fabulous","Good packaging and received genuine product,
As of now faceID is working fabulous.
Battery life so far normal.
IOS 15 update is available",""
"Ranjana Banerjee","5.0 out of 5 stars","Best iPhone in the market","Best of the best!!❤️❤️❤️❤️❤️❤️ Super happy with the iPhone 12!",""
"Nidhi","5.0 out of 5 stars","King of Phones","there is nothing better than iphones in phones, iphone 12 has everything you need in a phone plus the experience you'll not get in any other phone.",""
"Amazon Customer","4.0 out of 5 stars","Super phone","Worth mobile. Best build quality , better screen, and it's much handy compare to iPhone 11 and XR.
Battery 4/5
Camera 4.5/5
Function 5/5","One person found this helpful"
"Tanya gupta","5.0 out of 5 stars","Vry gud","Gud",""
"prince","4.0 out of 5 stars","Nice phone","Nice camera , display , touch feel....
Battery life needs to be improved ..
Phone gets heated while charging.
No in display finger unlock, notch is big but face I'd is very quick.
Overall good fon at this offer...use and Njy...","One person found this helpful"
"pradeep","5.0 out of 5 stars","Very Good IPhone smart to access everything","iPhone Brand very Good Phone to buy easy to access everything in finger prints, battery life also Good to go & Camera etc everything Fine.",""
"ut","4.0 out of 5 stars","Beautiful Phone","👌👌 bought this phone only 'cause of its in hand feel and a good camera , only thing which worries me is its battery....ah it sucks.",""
"Keshav Kakarla","5.0 out of 5 stars","Just amazing","iPhone 12 is just amazing, now available with more discounts",""
"Amazon Customer","5.0 out of 5 stars","Excellent","Excellent",""
"Shivasai","5.0 out of 5 stars","Worth it every penny","Even with the iPhone 13 offering more speed, slightly better cameras and longer battery life, the iPhone 12 is still among the best phones you can buy overall.",""
"Chayachitrakar","5.0 out of 5 stars","Wonderful phone","Apart from the cost, the phone is fantastic
Tip for those who are shifting from android
The WhatsApp message history is not migrated unless you pay good amount to some third party software and that too is not guaranteed","One person found this helpful"
"manish singh","5.0 out of 5 stars","iPhone is the best phone","iPhone is the best",""
"Jude Soosai","5.0 out of 5 stars","Very good phone.","Looks sturdy. Good features. If you get it under 60k (before offers and exchange) it is worth the cost.",""
"Sarthak S.","5.0 out of 5 stars","Best","Loved it overall",""
"Avishek Sinha","5.0 out of 5 stars","Excellent performance","Best hand on experience, fast smooth with good quality pictures",""
"User","4.0 out of 5 stars","Iphone12","Face recognition sometimes not working.. Didn’t received adapter in iPhone box",""
"S.R.","5.0 out of 5 stars","Outstanding","The phone is awesome. Seamless browsing. I canceled the first order with the seller because it was being delivered too late. The second order was in a deal wherein the delivery was next day. Seems weird but so is life. Phew..",""
"Vikrant Yerkal","5.0 out of 5 stars","Best iPhone","Best iPhone in this price point does every job perfectly camera awesome
Display superb
Battery life whole day
Buttery smooth
Overall- Awesome",""
"Sangita","5.0 out of 5 stars","Superb phone no issues","First of all amazon delivered the phone safely taken the video of the unboxing also which was quite a surprise.
Negative comments was another concern but sometimes it happens but End of the day phone is superb no issues at tall till date.",""
"Rahbare islam","5.0 out of 5 stars","Best mobile","Camera 😍😍😍",""
"Bhagyalekshmi S Panicker","5.0 out of 5 stars","Iphone12 Black 128gb","It’s a really good phone with good battery life and really good to use. This is is my first time shifting to iPhone and I m really enjoying it.","One person found this helpful"
"Mridula Singh Ahluwalia","5.0 out of 5 stars","amazing quality","the phone is amazing , the battery ,the camera , smooth functioning.
everything is perfect",""
"Gayathri Rau","5.0 out of 5 stars","great","great battery life long lasting and face recognition works great with mask also, would definitely recommend!",""
"Abhik","4.0 out of 5 stars","Somehow worth the job","Like : Fast charging.
Dislike : Battery heating issue while charging. Back of the phone is heated after longer use.",""
"Shiju","5.0 out of 5 stars","look","super gud phone",""
"Angrej","4.0 out of 5 stars","Quality is a good deal","Best phone than 13",""
"Rahul","5.0 out of 5 stars","Best in class","As A Apple product it never disappoints you best in class although everything is good but apple have to work on battery and Screen at this price range",""
"Gunjan Gunjesh","4.0 out of 5 stars","Great Experience","Everything is great about the phone except company is not offering charger with the phone and needs to be purchased separately. I think for 60K phone. Charger worth 1.5 k should be given.","One person found this helpful"
"srinu","4.0 out of 5 stars","Very good mobile","Thank you amazon for giving good quality of iPhone 12 green colour. This review after one month very nice condition good battery backup also",""
"CLE","5.0 out of 5 stars","Good phone","great phone",""
"Murali","5.0 out of 5 stars","Good product","Phone working very smooth and fast, camera is awesome and face recognition is also good…over all good and worth product",""
"...who else","4.0 out of 5 stars","Moving from Android to iOS?","Yes, it is a 5 star phone. But if you are moving from android to iPhone please be ready to lose your freedom. There is a lot available on internet to tell you about what you will lose out on. It is like speaking a new language altogether.
Quick image editing, video editing, simple things like making collages, setting custom ringtones, quick editing of alarms, changing WiFi or Bluetooth, toggling location, many more basic features are either absent in iOS or managed in a very cumbersome way. You will miss them if moving from Andriod. Also be ready to lose your WhatsApp chat history. Not impressed by the sound reproduction on bigger speakers via Bluetooth and the very inflexible equilizer.
For some silly reasons Apple is being stubborn on some aspects like standardisation of charging cable even within its own products. The notch at the top of the screen is still the same size it was in 2018.
Rest, there are tons of reviews to praise the phone and I agree with most of them.
Was a bit disappointed the way it was packaged. No foam or bubble wrap.","2 people found this helpful"
"Amazon Customer","5.0 out of 5 stars","Awesome","Previously I use to user finger print to open all my apps but
Now it’s opens
With a giffy sounds like a genie",""
"ankush","5.0 out of 5 stars","##","Superb",""
"Nupur B.","5.0 out of 5 stars","Gift to brother","I gifted this to my brother and he was very happy with this. Also got a good deal on Amazon with around 30% off. Thanks 😊",""
